WrdEngID	WrdEng
2088	drawing room
2089	aspiration
2090	please
2091	better half
2092	excavate
2093	dig
2094	drill
2095	conclusion
2096	bureaucracy
2097	register
2098	enroll
2099	enlist
2100	document
2101	bureaucrat
2102	verb
2103	fellowship
2104	scholarship
2105	betel
2106	betel nut
2107	feedback
2108	betrayal
2109	ladder
2110	thirst
2111	political science
2112	edit
2113	politics
2114	pronoun
2115	adjective
2116	noun
2117	guava
2118	judgement
2119	childlike
2120	stoney
2121	rocky
2122	dry
2123	wet
2124	circular
2125	sphere
2126	goal
2127	bug
2128	insect
2129	out
2130	attempt
2131	noise
2132	organization
2133	entity
2134	function
2135	program
2136	festival
2137	ceremony
2138	industrial
2139	cigarette
2140	colour
2141	dye
2142	pigment
2143	paint
2144	hue
2145	brightness
2146	dilute
2147	solid
2148	expat
2149	foreigner
2150	foreign
2151	event
2152	silence
2153	grab
2154	unique
2155	false
2156	erroneous
2157	err
2158	me
2159	imminent
2160	whisper
2161	wealthy
2162	wrist
2163	opinion
2164	approval
2165	jackfruit
2166	tax
2167	yawn
2168	health
2169	healthy
2170	diseased
2171	alcoholic
2172	drinker
2173	chat
2174	converse
2175	play
2176	tea leaf
2177	doll
2178	handicraft
2179	archaeology
2180	cuisine
2181	amazing
2182	ponder
2183	imagine
2184	suppose
2185	dynamic
2186	club
2187	review
2188	criticize
2189	cotton
2190	enthusiasm
2191	thanks
2192	thank you
2193	good night
2194	retract
2195	hotel
2196	inn
2197	guest-house
2198	silk
2199	silky
2200	muga silk
2201	chink
2202	infrastructure
2203	find
2204	happy
2205	joy
2206	delight
2207	delighted
2208	joyful
2209	joyous
2210	happily
2211	sorrow
2212	unhappiness
2213	sad
2214	unhappy
2215	sadly
2216	unhappily
2217	energy
2218	vigor
2219	smile
2220	danger
2221	safe
2222	dangerous
2223	still
2224	inactive
2225	difficult
2226	saw
2227	narrow
2228	width
2229	princess
2230	prince
2231	dance
2232	relation
2233	server
2234	file
2235	configuration
2236	grind
2237	commercialization
2238	family
2239	grandma
2240	granny
2241	grandpa
2242	granddaddy
2243	fairy
2244	angel
2245	hold
2246	something
2247	thursday
2248	autumn
2249	recite
2250	memorize
2251	memorized
2252	africa
2253	asia
2254	january
2255	OK
2256	okay
2257	australia
2258	europe
2259	antarctica
2260	north america
2261	south america
2262	linguistics
2263	phonetics
2264	phonology
2265	morphology
2266	syntax
2267	alkali potash
2268	whom
2269	timely
2270	circuit
2271	metallurgy
2272	snooze
2273	void
2274	hysteresis
2275	transportation
2276	conductivity
2277	silt
2278	clay
2279	mud
2280	atomic
2281	resistance
2282	carbohydrate
2283	sugar
2284	ayah
2285	nursemaid
2286	resonance
2287	epicenter
2288	parabola
2289	leap year
2290	inorganic
2291	alive
2292	organic
2293	bio
2294	live
